TRADEDATE,SECID,CLOSE
2019-10-18,VTBR,0.0428
2019-10-21,VTBR,0.04364
2019-10-22,VTBR,0.0437
2019-10-23,VTBR,0.0432
2019-10-24,VTBR,0.042855
2019-10-25,VTBR,0.042985
2019-10-28,VTBR,0.042825
2019-10-29,VTBR,0.04306
2019-10-30,VTBR,0.0435
2019-10-31,VTBR,0.04309
2019-11-01,VTBR,0.043145
2019-11-05,VTBR,0.044025
2019-11-06,VTBR,0.0442
2019-11-07,VTBR,0.0443
2019-11-08,VTBR,0.046
2019-11-11,VTBR,0.04695
2019-11-12,VTBR,0.047
2019-11-13,VTBR,0.04733
2019-11-14,VTBR,0.047065
2019-11-15,VTBR,0.04692
2019-11-18,VTBR,0.0462
2019-11-19,VTBR,0.04646
2019-11-20,VTBR,0.046
2019-11-21,VTBR,0.045995
2019-11-22,VTBR,0.04619
2019-11-25,VTBR,0.04625
2019-11-26,VTBR,0.045875
2019-11-27,VTBR,0.0458
2019-11-28,VTBR,0.04543
2019-11-29,VTBR,0.04533
2019-12-02,VTBR,0.044915
2019-12-03,VTBR,0.044245
2019-12-04,VTBR,0.044595
2019-12-05,VTBR,0.044715
2019-12-06,VTBR,0.045275
2019-12-09,VTBR,0.04545
2019-12-10,VTBR,0.04517
2019-12-11,VTBR,0.045305
2019-12-12,VTBR,0.045355
2019-12-13,VTBR,0.04635
2019-12-16,VTBR,0.04651
2019-12-17,VTBR,0.04655
2019-12-18,VTBR,0.04692
2019-12-19,VTBR,0.046515
2019-12-20,VTBR,0.0463
2019-12-23,VTBR,0.046505
2019-12-24,VTBR,0.04635
2019-12-25,VTBR,0.04598
2019-12-26,VTBR,0.046
2019-12-27,VTBR,0.04588
2019-12-30,VTBR,0.0459
2020-01-03,VTBR,0.04624
2020-01-06,VTBR,0.04611
2020-01-08,VTBR,0.046525
2020-01-09,VTBR,0.047075
2020-01-10,VTBR,0.0476
2020-01-13,VTBR,0.04806
2020-01-14,VTBR,0.04726
2020-01-15,VTBR,0.046805
2020-01-16,VTBR,0.047825
2020-01-17,VTBR,0.048035
2020-01-20,VTBR,0.048015
2020-01-21,VTBR,0.04981
2020-01-22,VTBR,0.04897
2020-01-23,VTBR,0.0485
2020-01-24,VTBR,0.048
2020-01-27,VTBR,0.04682
2020-01-28,VTBR,0.0472
2020-01-29,VTBR,0.04754
2020-01-30,VTBR,0.047045
2020-01-31,VTBR,0.0464
2020-02-03,VTBR,0.04615
2020-02-04,VTBR,0.047255
2020-02-05,VTBR,0.04768
2020-02-06,VTBR,0.048075
2020-02-07,VTBR,0.04809
2020-02-10,VTBR,0.0474
2020-02-11,VTBR,0.04744
2020-02-12,VTBR,0.04787
2020-02-13,VTBR,0.048
2020-02-14,VTBR,0.047885
2020-02-17,VTBR,0.048095
2020-02-18,VTBR,0.047205
2020-02-19,VTBR,0.04747
2020-02-20,VTBR,0.04751
2020-02-21,VTBR,0.04796
2020-02-25,VTBR,0.047295
2020-02-26,VTBR,0.04723
2020-02-27,VTBR,0.04539
2020-02-28,VTBR,0.04333
2020-03-02,VTBR,0.043
2020-03-03,VTBR,0.043255
2020-03-04,VTBR,0.043155
2020-03-05,VTBR,0.04307
2020-03-06,VTBR,0.04122
2020-03-10,VTBR,0.03745
2020-03-11,VTBR,0.036355
2020-03-12,VTBR,0.03112
2020-03-13,VTBR,0.031575
2020-03-16,VTBR,0.03015
2020-03-17,VTBR,0.029735
2020-03-18,VTBR,0.02814
2020-03-19,VTBR,0.03057
2020-03-20,VTBR,0.0315
2020-03-23,VTBR,0.0316
2020-03-24,VTBR,0.03288
2020-03-25,VTBR,0.0328
2020-03-26,VTBR,0.0325
2020-03-27,VTBR,0.0311
2020-03-30,VTBR,0.03165
2020-03-31,VTBR,0.0326
2020-04-01,VTBR,0.03203
2020-04-02,VTBR,0.032175
2020-04-03,VTBR,0.03208
2020-04-06,VTBR,0.03367
2020-04-07,VTBR,0.03437
2020-04-08,VTBR,0.035
2020-04-09,VTBR,0.0364
2020-04-10,VTBR,0.03659
2020-04-13,VTBR,0.0359
2020-04-14,VTBR,0.035415
2020-04-15,VTBR,0.03324
2020-04-16,VTBR,0.034
2020-04-17,VTBR,0.0343
2020-04-20,VTBR,0.033805
2020-04-21,VTBR,0.0331
2020-04-22,VTBR,0.034
2020-04-23,VTBR,0.03427
2020-04-24,VTBR,0.033705
2020-04-27,VTBR,0.0339
2020-04-28,VTBR,0.0345
2020-04-29,VTBR,0.035195
2020-04-30,VTBR,0.0349
2020-05-04,VTBR,0.03486
2020-05-05,VTBR,0.035475
2020-05-06,VTBR,0.03531
2020-05-07,VTBR,0.03553
2020-05-08,VTBR,0.035375
2020-05-12,VTBR,0.035185
2020-05-13,VTBR,0.034205
2020-05-14,VTBR,0.03431
2020-05-15,VTBR,0.034215
2020-05-18,VTBR,0.03499
2020-05-19,VTBR,0.03483
2020-05-20,VTBR,0.03521
2020-05-21,VTBR,0.03496
2020-05-22,VTBR,0.03467
2020-05-25,VTBR,0.035005
2020-05-26,VTBR,0.0351
2020-05-27,VTBR,0.03539
2020-05-28,VTBR,0.03597
2020-05-29,VTBR,0.03631
2020-06-01,VTBR,0.03664
2020-06-02,VTBR,0.037175
2020-06-03,VTBR,0.03798
2020-06-04,VTBR,0.03715
2020-06-05,VTBR,0.037595
2020-06-08,VTBR,0.037695
2020-06-09,VTBR,0.0377
2020-06-10,VTBR,0.03758
2020-06-11,VTBR,0.036745
2020-06-15,VTBR,0.036845
2020-06-16,VTBR,0.03688
2020-06-17,VTBR,0.0365
2020-06-18,VTBR,0.0359
2020-06-19,VTBR,0.035255
2020-06-22,VTBR,0.035565
2020-06-23,VTBR,0.03554
2020-06-25,VTBR,0.0356
2020-06-26,VTBR,0.03515
2020-06-29,VTBR,0.035485
2020-06-30,VTBR,0.03505
2020-07-02,VTBR,0.03541
2020-07-03,VTBR,0.03567
2020-07-06,VTBR,0.03608
2020-07-07,VTBR,0.035735
2020-07-08,VTBR,0.03551
2020-07-09,VTBR,0.035175
2020-07-10,VTBR,0.035235
2020-07-13,VTBR,0.035
2020-07-14,VTBR,0.034915
2020-07-15,VTBR,0.034995
2020-07-16,VTBR,0.03481
2020-07-17,VTBR,0.0348
2020-07-20,VTBR,0.0371
2020-07-21,VTBR,0.03807
2020-07-22,VTBR,0.03789
2020-07-23,VTBR,0.037465
2020-07-24,VTBR,0.03795
2020-07-27,VTBR,0.03921
2020-07-28,VTBR,0.038905
2020-07-29,VTBR,0.03924
2020-07-30,VTBR,0.03861
2020-07-31,VTBR,0.038755
2020-08-03,VTBR,0.040125
2020-08-04,VTBR,0.040385
2020-08-05,VTBR,0.03855
2020-08-06,VTBR,0.03783
2020-08-07,VTBR,0.03672
2020-08-10,VTBR,0.036755
2020-08-11,VTBR,0.03693
2020-08-12,VTBR,0.03768
2020-08-13,VTBR,0.03764
2020-08-14,VTBR,0.03772
2020-08-17,VTBR,0.03761
2020-08-18,VTBR,0.037355
2020-08-19,VTBR,0.037445
2020-08-20,VTBR,0.03697
2020-08-21,VTBR,0.03636
2020-08-24,VTBR,0.036315
2020-08-25,VTBR,0.03585
2020-08-26,VTBR,0.036065
2020-08-27,VTBR,0.03609
2020-08-28,VTBR,0.03595
2020-08-31,VTBR,0.035375
2020-09-01,VTBR,0.036065
2020-09-02,VTBR,0.035555
2020-09-03,VTBR,0.03508
2020-09-04,VTBR,0.035335
2020-09-07,VTBR,0.03521
2020-09-08,VTBR,0.034825
2020-09-09,VTBR,0.03503
2020-09-10,VTBR,0.03515
2020-09-11,VTBR,0.03542
2020-09-14,VTBR,0.0358
2020-09-15,VTBR,0.036185
2020-09-16,VTBR,0.035795
2020-09-17,VTBR,0.035705
2020-09-18,VTBR,0.03549
2020-09-21,VTBR,0.034855
2020-09-22,VTBR,0.034635
2020-09-23,VTBR,0.034355
2020-09-24,VTBR,0.034275
2020-09-25,VTBR,0.034225
2020-09-28,VTBR,0.034495
2020-09-29,VTBR,0.03458
2020-09-30,VTBR,0.034475
2020-10-01,VTBR,0.03425
2020-10-02,VTBR,0.033835
2020-10-05,VTBR,0.03375
2020-10-06,VTBR,0.03379
2020-10-07,VTBR,0.033405
2020-10-08,VTBR,0.033395
2020-10-09,VTBR,0.033205
2020-10-12,VTBR,0.03323
2020-10-13,VTBR,0.03304
2020-10-14,VTBR,0.033225
2020-10-15,VTBR,0.032655
2020-10-16,VTBR,0.03202
2020-10-19,VTBR,0.031725
2020-10-20,VTBR,0.03389
2020-10-21,VTBR,0.0336
2020-10-22,VTBR,0.03464
2020-10-23,VTBR,0.034785
2020-10-26,VTBR,0.034115
2020-10-27,VTBR,0.033435
2020-10-28,VTBR,0.032225
2020-10-29,VTBR,0.03276
2020-10-30,VTBR,0.032665
2020-11-02,VTBR,0.032865
2020-11-03,VTBR,0.032955
2020-11-05,VTBR,0.033645
2020-11-06,VTBR,0.033605
2020-11-09,VTBR,0.03439
2020-11-10,VTBR,0.03464
2020-11-11,VTBR,0.03414
2020-11-12,VTBR,0.035935
2020-11-13,VTBR,0.0366
2020-11-16,VTBR,0.0372
2020-11-17,VTBR,0.0362
2020-11-18,VTBR,0.03605
2020-11-19,VTBR,0.0361
2020-11-20,VTBR,0.036545
2020-11-23,VTBR,0.03653
2020-11-24,VTBR,0.036935
2020-11-25,VTBR,0.03682
2020-11-26,VTBR,0.037
2020-11-27,VTBR,0.037765
2020-11-30,VTBR,0.03721
2020-12-01,VTBR,0.0377
2020-12-02,VTBR,0.03797
2020-12-03,VTBR,0.037755
2020-12-04,VTBR,0.037835
2020-12-07,VTBR,0.03749
2020-12-08,VTBR,0.03748
2020-12-09,VTBR,0.03732
2020-12-10,VTBR,0.03803
2020-12-11,VTBR,0.037945
2020-12-14,VTBR,0.03783
2020-12-15,VTBR,0.037765
2020-12-16,VTBR,0.038315
2020-12-17,VTBR,0.03835
2020-12-18,VTBR,0.03815
2020-12-21,VTBR,0.03718
2020-12-22,VTBR,0.037205
2020-12-23,VTBR,0.037945
2020-12-24,VTBR,0.03783
2020-12-25,VTBR,0.03795
2020-12-28,VTBR,0.03801
2020-12-29,VTBR,0.037755
2020-12-30,VTBR,0.037895
2021-01-04,VTBR,0.037925
2021-01-05,VTBR,0.038445
2021-01-06,VTBR,0.038235
2021-01-08,VTBR,0.03894
2021-01-11,VTBR,0.03989
2021-01-12,VTBR,0.040175
2021-01-13,VTBR,0.039735
2021-01-14,VTBR,0.039875
2021-01-15,VTBR,0.03956
2021-01-18,VTBR,0.03916
2021-01-19,VTBR,0.038645
2021-01-20,VTBR,0.03879
2021-01-21,VTBR,0.03787
2021-01-22,VTBR,0.03737
